Municipio;Nombre;Comentario;Referencia
tres cantos;Burrolandia;"Agradable visita tanto para niños como para adultos. Algunos animales (burros, cabras, ovejas, perros, gatos...) están sueltos por el recinto y puedes alimentarles; venden cubos por 2,5€ con zanahorias, lechuga... Pagos en efectivo o por Bizum.  Cuentan con un merendero, un pequeño bar con bebidas y bocadillos, y un mercadillo en el que venden juguetes.  Hay baños y un dispensador de gel hidroalcohólico al inicio de la visita. Hay zona de aparcamiento al aire libre, de tierra.  Actualmente (enero 2021) las visitas han de reservarse con una semana de antelación (sacan a la venta de manera gratuita las entradas los lunes de cara al sábado y domingo en dos turnos: de 10:00 a 12:00 y de 12:00 a 14:00).  …";https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Estupendo para niños y mayores....para ir en familia! Los burritos muy bien cuidados y el personal muy amable. Tienen unos cubos para dar de comer a 2.50€ la entrada es gratuita y no obligan a nada.... Merece la pena venir y colaborar! A;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Pasamos un día estupendo. A pesar de que no quedaban entradas, llamamos y nos dijeron que si que podíamos ir.;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Hoy hemos estado mi marido y yo a conocer Burrolandia y me parece una labor increíble para todas las personas que lo visitamos y especialmente para los niños y un APLAUSO para las personas voluntarias que nos reciben por su amabilidad y el buen hacer. GRACIAS POR HACER ESTA BUENA LABOR. Un saludo…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Falta de distancia entre las personas q estábamos allí. Los animales mal cuidados, se veían sucios. No lo veo un sitio recomendable para enseñar a mis hijos. Ni ecologistas ni nada. Un atentando contra la naturaleza;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Nos parecio muy bonita la labor que hace estas asociacion , Y que los niños ppuedan tener este contacto con los animales y el campo tan cerquita de Madrid . es una buena escursion y a los crios les encanta dar de comer a los burritos cabritas y otros animales , se podria mejorar…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or5-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Exquisito. Buen trato lo recomiendo para familias. Muy agradable y buena labor que hacen con los burros y demás animales. Volveremos.;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or5-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Si buscas un plan chulisimo para los.pequeños de la casa, pasate por burrolandia. Entrada gratis (colaboras con ellos comprando cubos de comida para que los niños den de comer a los burritos y demas animales que tienen por alli sueltos). Ideal para pasar un par de horas con los…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or5-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Estuvimos hace unas semanas, nos llevamos zanahorias y lechuga como otras veces, la señorita que estaba en la puerta nos dijo que no se podía llevar comida de fuera,según ella se había puesto un burro malo porque le dieron manzanas en mal estado, hasta ahí lo comprendimos, pero…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or5-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Un lugar en plena naturaleza ideal para ir en familia y con tu mascota. Sin duda repetiremos, nos ha encantado.;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or5-Burrolandia-Tres_Cantos.html
